appid,title_new,rank_new,price_text_new,release_text_new
1572000,Derelicts,99,Unpriced (Coming Soon),To be announced
2705130,Exoborne,139,Unpriced (Coming Soon),To be announced
4198090,Bradley the Badger,143,Unpriced (Coming Soon),To be announced
1501310,The Ranchers,154,Free,Coming soon
3590650,OKU,162,Unpriced (Coming Soon),To be announced
2359600,Perfect New World,173,Free,Coming soon
1401370,Viking City Builder,179,Unpriced (Coming Soon),To be announced
895160,Autonomica,186,Free,Coming soon
2131860,Ashfall,197,Free,Coming soon
914210,N1RV Ann-A: Cyberpunk Bartender Action,205,Unpriced (Coming Soon),To be announced
612400,The Last Night,206,Unpriced (Coming Soon),To be announced
2192380,Begone Beast,218,Free,Coming soon
2411280,The Bornless,220,Unpriced (Coming Soon),2026
2017940,Pony Island 2: Panda Circus,225,Unpriced (Coming Soon),To be announced
763310,Projekt Z: Beyond Order,240,Unpriced (Coming Soon),To be announced
4743930,Guild Wars 3™,250,Unpriced (Coming Soon),To be announced
1898920,War of the Worlds,262,Unpriced (Coming Soon),To be announced
2365790,Let's Build a Dungeon,266,Unpriced (Coming Soon),2026
2796640,The Magus Circle,271,Free,Coming soon
2193600,Paranormal Tales,273,Unpriced (Coming Soon),To be announced
1994000,Rogue Soulstone,277,Unpriced (Coming Soon),To be announced
2675650,Decrepit,279,Unpriced (Coming Soon),2026
1363940,Tenjutsu,285,Unpriced (Coming Soon),To be announced
3486530,Stupid Never Dies,287,Unpriced (Coming Soon),2026
1699050,Sanctuary: Shattered Sun,295,Unpriced (Coming Soon),To be announced
1442520,Akatori,305,Unpriced (Coming Soon),2026
2177510,EthrA,306,Unpriced (Coming Soon),To be announced
3617830,Scary Cargo,312,Free,Coming soon
1340380,Kitori Academy,319,Free,Coming soon
1051440,Ship Builder,320,Unpriced (Coming Soon),To be announced
1332100,Starship Simulator,321,Free,To be announced
1675680,INSTINCTION,327,Unpriced (Coming Soon),To be announced
3545560,Ironclad,332,Unpriced (Coming Soon),To be announced
