appid,evidence_type,date_classification,url,title,snippet,contents_preview,matched_keywords,evidence_score,confidence_label,reason_for_score,query_group
3919900,steam_news,inside_extended_window,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1839676055883133,Announcement Before the Release,,"Hey everyone, the big day is getting close. But first, we need to make an announcement to keep you all informed.A couple of days ago we started our private Early Access session to hunt for bugs before the August 3rd release. We are working every day — both our solo developer fixing issues and the te",announcement,65,strong,Inside extended window (+15); Official Steam News (+20); Keywords ['announcement'] (+20); Mentions changed Store field (+10),
3919900,youtube_video,outside_window,https://www.youtube.com/watch?v=rPBmkQEMMiY,Dead Zone Revive - Official Trailer,,"A classic from 2012 rises from the grave. Dead Zone Revive promises base building, real-time missions, and a massive loot pool ...",trailer,55,medium,YouTube (+15); Exact title match (+20); Keywords ['trailer'] (+20),
3919900,youtube_video,outside_window,https://www.youtube.com/watch?v=ywxxhURocnk,Dead Zone Revive is back! #Steam #indiegames #Gameplay,,"A classic from 2012 rises from the grave. Dead Zone Revive promises base building, real-time missions, and a massive loot pool ...",gameplay,55,medium,YouTube (+15); Exact title match (+20); Keywords ['gameplay'] (+20),
3919900,youtube_video,outside_window,https://www.youtube.com/watch?v=rPBmkQEMMiY,Dead Zone Revive - Official Trailer,,"A classic from 2012 rises from the grave. Dead Zone Revive promises base building, real-time missions, and a massive loot pool ...",trailer,55,medium,YouTube (+15); Exact title match (+20); Keywords ['trailer'] (+20),
3919900,youtube_video,outside_window,https://www.youtube.com/watch?v=rPBmkQEMMiY,Dead Zone Revive - Official Trailer,,"A classic from 2012 rises from the grave. Dead Zone Revive promises base building, real-time missions, and a massive loot pool ...",trailer,55,medium,YouTube (+15); Exact title match (+20); Keywords ['trailer'] (+20),
3919900,youtube_video,outside_window,https://www.youtube.com/watch?v=ywxxhURocnk,Dead Zone Revive is back! #Steam #indiegames #Gameplay,,"A classic from 2012 rises from the grave. Dead Zone Revive promises base building, real-time missions, and a massive loot pool ...",gameplay,55,medium,YouTube (+15); Exact title match (+20); Keywords ['gameplay'] (+20),
3919900,steam_news,outside_window,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1832065502819668,New release date (alpha),,Hello everyone. We've recently added a new release date for the game: August 3rd. This release is planned as a second release of the alpha version with bug fixes. A patch note detailing the fixes will be uploaded on release day. Thank you all for your patience and continued support of the game. We r,release date,50,medium,Official Steam News (+20); Keywords ['release date'] (+20); Mentions changed Store field (+10),
3919900,youtube_video,outside_window,https://www.youtube.com/watch?v=vlKdDY5EcGc,the last stand dead zone revive test,,,,35,medium,YouTube (+15); Exact title match (+20),
3919900,youtube_video,outside_window,https://www.youtube.com/watch?v=vlKdDY5EcGc,the last stand dead zone revive test,,,,35,medium,YouTube (+15); Exact title match (+20),
3919900,youtube_video,outside_window,https://www.youtube.com/watch?v=I9gK3JndkEg,When You&#39;re trying to Play Dead Zone Revive in March 2026...,,"Yes. [The Game is ""Available"" right now on Gamejolt and Itch: https://deadzonegame.net/ you'll find links there]. Remember to join ...",,35,medium,YouTube (+15); Exact title match (+20),
3919900,youtube_video,outside_window,https://www.youtube.com/watch?v=G9kybfKO7yU,Dead Zone Revive... Today is the day,,"Today's the reléase, people it's real.",,35,medium,YouTube (+15); Exact title match (+20),
3919900,steam_news,outside_window,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1827626365761068,Steam Status Report,,"Hey everyone, I'm from the project's staff team, and just wanted to clarify some things. The main dev's currently juggling development with exams and sickness, however a new dev has joined the team. Unfortunately, we've encountered some roadblocks that ensure we won't have this released until August",,30,weak,Official Steam News (+20); Mentions changed Store field (+10),
3919900,steam_news,outside_window,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1826362059933874,DELAY ONLY IN STEAM/EPIC GAMES,,This is a bit of sad news: the Steam and Epic Games release will be delayed by approximately 1 week due to some issues (already fixed) THIS DOES NOT MEAN THE GAME IS DELAYED! The release will still happen on all the other available platforms: https://deadzonegame.net/playnow “Can I use my account fr,,30,weak,Official Steam News (+20); Mentions changed Store field (+10),
3919900,youtube_video,outside_window,https://www.youtube.com/watch?v=0D7l62hgvn0,Top 40 INSANE Upcoming Isometric Games Coming in 2026,,"Top 40 INSANE Upcoming Isometric Games Coming in 2026 Get ready for the next generation of isometric action RPGs, survival ...",,15,weak,YouTube (+15),
3919900,youtube_video,outside_window,https://www.youtube.com/watch?v=HZA-Ndr_wdc,"The Last Stand: Dead Zone || Union Island Full Raid (July 11, 2020)",,This video is actually an old clip from the last time I played this game. I didn't get to upload it because I was busy with work (a lot of ...,,15,weak,YouTube (+15),
3919900,youtube_video,outside_window,https://www.youtube.com/watch?v=IiplS1OZ82I,DEADZONE ROGUE But I Don&#39;t Waste Your Time (Features &amp; Things To Know Before Buying),,"Hello :) If you see value in my concise & (hopefully) time-saving videos, you can support me and the channel on:* *PayPal* ...",,15,weak,YouTube (+15),
3919900,youtube_video,outside_window,https://www.youtube.com/watch?v=SX4fwCLP6II,The Last Stand: Dead Zone - Destruction of Benjamin Eddy,,Turns out that zombies aren't the scariest thing about the zombie apocalypse!,,15,weak,YouTube (+15),
