appid,title_old,rank_old
3551190,The Last Salvage Squad,976
4204610,Gentleman's Violence,1325
3946810,The seven days i spent with you,1862
2054520,Gawr Gura: Quest for Bread,2711
3297800,GRIMPS,2776
2498890,BOOM! Buster,2777
2439030,Vaunted,2778
3832380,Bao Bao's™ Cozy Cleaning Services,2779
4279510,No Mortal Space,2780
4331110,O EMPIRE! WARD OFF THY ROT,2781
4138590,Gospel of Steel,2782
3932580,Diorama Break,2784
2783360,Age of Empires Mobile: PC Edition,2785
2110150,Thesis of Love 心动论证,2786
2644100,Allogloom,2787
3292770,FIEFDOM,2788
3504310,Ghost Sector,2789
4181970,Full Stride,2790
1122170,Mech Hunter,2791
3164790,Overgrown Cleaner,2792
3407450,The Northern Path,2793
1264620,Lucen,2794
3465440,CitaDrill,2795
1231210,Midair 2,2796
3846580,Lost in Tandem,2797
2163660,Loading...,2798
4285930,Rakshasa,2799
2932680,Nomori,2800
3963220,Saturday AM: Battle Manga,2802
2662730,Eating Nature,2803
3949580,Lunar Strike,2804
2434930,Blue Ridge Hunting,2805
2271570,REFLEXIA,2806
2681940,Crush at first sight🍓,2807
1221260,Pope Simulator,2808
2140540,Hellslinger,2809
2782470,Pharos Light,2810
3359110,Total Victory: World Conflict 1939-1945,2811
3255140,CORPOREAL,2812
2629170,FreeJack Online,2813
3139120,THREE VERSES³,2814
3560360,Forsworn,2815
4021890,Pizzapocalypse 2,2816
2478710,"Football, Tactics & Glory 2",2817
4201570,Mystical Demon Farm,2818
2903980,Steel Effigy,2819
2473720,Vulture -Unlimited Frontier- /0,2820
4136620,Emissary One,2821
1372780,Quantum Paradox,2822
4137830,Must be Feng Shui,2823
1979350,Astro World,2824
2688960,Eternity's Echo: Patient Zero,2825
3610790,Hope in the City,2826
3586920,Extreme Cleaning Simulator,2827
2989890,Formula Circus,2828
3936420,Bouncemasters 2: Pengu Throw,2829
1677010,Wood & Weather,2830
4018020,Angels Online Global,2831
3659460,Gear.Club Unlimited 3,2832
1244600,Let's Drive - learn driving simulator,2833
4377480,Burn-9,2834
981720,Lore Finder,2835
4428600,Pikku Adventure,2836
2076310,Tears of Magic,2837
1222150,Her War,2838
2110000,All Systems Dance,2839
3434180,project; VIRAI: DOOMER’s LIFE ESCAPE,2840
2332150,Frog Island,2841
4484810,Winter Whiskers,2842
1132530,Wolf Ridge,2843
2217860,Covert Ultra,2844
3165340,All Will Rise,2845
2003070,Orc Warchief: Prologue,2846
