appid,title_old,rank_old
2654990,Mythic Love: Iberian Legends,1463
4562150,How To Grow a Black Hole,1845
4542210,War Room: Tactical Sandbox,2112
3884970,Layer Land,2236
2783360,Age of Empires Mobile: PC Edition,2315
2882850,Portal: Singularity Collapse,2351
2450350,Fat Goblins,2352
2928190,There is NO PLAN B,2353
2749050,"Coins, Crown & Cabal",2354
2527970,Sea Of Rifts,2355
4286120,Photomaly,2356
3048330,Mirage Noir,2357
2823820,Category 6,2358
3358170,Dodo Duckie,2360
4183270,StellarDrive,2361
2810210,Codename CURE II,2362
3202730,Reforj,2363
4480060,Hidden Folks 2,2364
4089610,Eldritch Horror: Digital Edition,2365
3396160,Warfactory: Automation RTS,2366
3869940,War of Banners,2367
3435610,Exark,2368
3126500,States of Power,2369
2133850,Broken Reality 2000,2370
2521170,Looking For Fael,2371
4109980,Riftwalker,2373
1085830,Knights of Frontier Valley,2374
4183770,CELESTAY Craft&Slowlife,2375
